antecedent,consequent,support,confidence,lift
proto_arp,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low AND service_-,0.01598,0.980063,27.874326
proto_arp,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND packet_rate_low AND service_-,0.015792,0.96852,27.694283
proto_arp AND state_int,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND packet_rate_low,0.015792,1.0,27.500157
proto_arp AND service_- AND state_int,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND packet_rate_low,0.015792,1.0,27.500157
packet_asymmetry_medium AND proto_arp AND service_- AND state_int,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low,0.015792,1.0,27.358558
proto_arp AND state_int,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low,0.015792,1.0,27.358558
packet_asymmetry_medium AND proto_arp,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low,0.015792,1.0,27.358558
proto_arp AND service_- AND state_int,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low,0.015792,1.0,27.358558
packet_asymmetry_medium AND proto_arp AND state_int,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low,0.015792,1.0,27.358558
packet_asymmetry_medium AND proto_arp AND service_-,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low,0.015792,1.0,27.358558
proto_arp AND service_-,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low,0.01598,0.980063,26.81311
proto_arp,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low,0.01598,0.980063,26.81311
proto_arp AND service_-,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND packet_rate_low,0.015792,0.96852,26.634465
proto_arp,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND packet_rate_low,0.015792,0.96852,26.634465
outbound_dominance_ratio_medium AND proto_arp AND state_int,bytes_per_packet_low AND packet_asymmetry_medium AND packet_rate_low AND service_-,0.015792,1.0,26.526626
proto_arp AND state_int,bytes_per_packet_low AND packet_asymmetry_medium AND packet_rate_low AND service_-,0.015792,1.0,26.526626
packet_asymmetry_medium AND proto_arp,bytes_per_packet_low AND outbound_dominance_ratio_medium AND service_- AND state_int,0.015792,1.0,26.268315
outbound_dominance_ratio_medium AND packet_asymmetry_medium AND proto_arp,bytes_per_packet_low AND service_- AND state_int,0.015792,1.0,26.268315
packet_asymmetry_medium AND proto_arp,bytes_per_packet_low AND service_- AND state_int,0.015792,1.0,26.268315
packet_asymmetry_medium AND packet_rate_low AND proto_arp,bytes_per_packet_low AND service_- AND state_int,0.015792,1.0,26.268315
packet_asymmetry_medium AND packet_rate_low AND proto_arp,bytes_per_packet_low AND outbound_dominance_ratio_medium AND service_- AND state_int,0.015792,1.0,26.268315
outbound_dominance_ratio_medium AND packet_asymmetry_medium AND packet_rate_low AND proto_arp,bytes_per_packet_low AND service_- AND state_int,0.015792,1.0,26.268315
outbound_dominance_ratio_medium AND proto_arp,bytes_per_packet_low AND packet_asymmetry_medium AND packet_rate_low AND service_-,0.015792,0.985409,26.139583
outbound_dominance_ratio_medium AND packet_rate_low AND proto_arp,bytes_per_packet_low AND service_- AND state_int,0.015792,0.988223,25.958945
outbound_dominance_ratio_medium AND packet_rate_low AND proto_arp,bytes_per_packet_low AND packet_asymmetry_medium AND service_- AND state_int,0.015792,0.988223,25.958945
outbound_dominance_ratio_medium AND proto_arp,bytes_per_packet_low AND packet_asymmetry_medium AND service_- AND state_int,0.015792,0.985409,25.88504
